Rank,Company,Country,Sales,Profits,Assets,Market Value,Sector,Industry
9,Apple,United States,217.5,45.2,331.1,752,Information Technology,Computer Hardware
15,Samsung Electronics,South Korea,174,19.3,217.1,254.3,Information Technology,Semiconductors
19,Microsoft,United States,85.3,16.8,224.6,507.5,Information Technology,Software & Programming
43,IBM,United States,79.9,11.9,117.5,162.4,Information Technology,Computer Services
54,Intel,United States,59.4,10.3,113.3,170.4,Information Technology,Semiconductors
70,Oracle,United States,37.4,8.9,125.4,182.2,Information Technology,Software & Programming
119,Facebook,United States,27.6,9.5,65,407.3,Information Technology,Computer Services
171,Hewlett Packard Enterprise,United States,48.8,3.2,76.7,30.4,Information Technology,
201,Hitachi,Japan,85.8,1.8,82.7,25.6,Information Technology,Electronics
460,Fujitsu,Japan,41.7,1.2,27.1,12.5,Information Technology,Computer Hardware
608,Dell Technologies,United States,61.9,-3.7,118.2,13.5,Information Technology,
609,Nokia,Finland,26.1,-0.749,49.2,30.3,Information Technology,Communications Equipment
691,LG Display,South Korea,22.8,0.782,20.6,9.4,Information Technology,Electronics
701,Adobe Systems,United States,6.1,1.3,13,64.4,Information Technology,Software & Programming
710,Ericsson,Sweden,26,0.2,31.6,21.4,Information Technology,Communications Equipment
817,Toshiba,Japan,47.2,-3.8,47.7,8.3,Information Technology,Electronics
898,Yahoo!,United States,5.2,-0.214,48.1,44.4,Information Technology,
